review,subjetividade,,,Valor Final Subjetividade,classificacao
"ERA cliente regular do restaurante Dhaigo a muitos anos, comia tanto no local, como também entregavam em casa.",0,0,0,0,1
Quando me servi do buffet de frios num pratinho de plástico o pratinho entortou e caiu tudo no chão.,0,0,0,0,-1
Tem uma parte superior que nos proporciona um jantar mais intimo e refinado.,1,1,1,1,1
"bebemos um vinho maravilhoso e a conta ficou super barata pro tanto que comemos e bebemos, alem do atendimento do restaurante, sem duvida um dos melhores!",1,1,1,1,1
A pizza é maravilhosa mas vá preparado para gastar.,1,1,1,1,1
Mas eu esperava mais.,1,1,1,1,-1
"Minha esposa comeu um risoto de arroz negro, o qual estava muito bom.",1,1,1,1,1
O melhor atendimento da praia de cotovelo.O caranguejo mais gostoso nesta praia dispõe de diversos ambientes para atender a todas as necessidades,1,1,1,1,1
"Brasserie já tradicional da rua dos Pinheiros e depois Melo Alves, esta aqui, do Shopping Iguatemi, não fica nada a dever às outras duas.",1,1,1,1,0
De carne especiais a vinhos de excelente padrão.,1,1,1,1,1
"Delicia de Restaurante, hambúrguer de excelente qualidade,  localização boa, atendimento nota 10...Fui uma das primeiras clientes quando abriu e desde então frequento, levo amigos e super, super indico...Qualidade e valor resumen essa experiência.",1,1,1,1,1
"Adorei os drinks sem álcool, muito saborosa.",1,1,1,1,1
"Melhor chopp de Goiânia, geladissimo e para acompanhar uma deliciosa cebola, sempre visito o Outback, adoro e a escolha nunca deixa a desejar",1,1,1,1,1
E o preço bem acessível a todos.,1,1,1,1,1
"Ambiente deteriorado com mofo nas paredes     
Uma única pessoa para atender em pleno domingo
Cerveja acabou antes as 14:00
Sobrou comida boa

Á",1,1,1,1,-1
Local excelente para tomar um chop no fim da tarde com os amigos.,1,1,1,1,1
O pessoal parece que trabalha mal humorado.,1,1,1,1,-1
É prático e o atendimento é bem bom.,1,1,1,1,1
Lugar apertado e mal atendido.,1,1,1,1,-1
"Restaurante de frente ao mar, com vista muito linda, mas porções pequenas e caras e atendimento muito ruim.",1,1,1,1,-1
"Comida agradável num ambiente harmonioso e com estilo, garçons atenciosos, educados e esclarecedores sobre dúvidas na hora de escolher os pratos,boa música ambiente e fácil de estacionar",1,1,1,1,1
"Fomos lá almoçar e o ambiente é bom, climatizado, o atendimento do senhorzinho na porta é perfeito parabéns muito prestativo, a comida é boa, demorou um pouco pedimos um caldinho pra ir adiantando e veio praticamente junto com a comida o preço é um pouco alto mais nada demais voltaria sim.",1,1,1,1,1
"Rsrs Comida muito saborosa, atendimento muito acolhedor.",1,1,1,1,1
Lanches naturais e gordurosos gostei muito do atendimento e da comida fornecida recomendo a todos...,1,1,1,1,1
Com certeza é um local que indico!,1,1,1,1,1
"Famosa franquia do black dog, com diversas opções de cachorros quentes, que vem muito bem recheados!",1,1,1,1,1
Achei a decoração e o atendimento ótimos.,1,1,1,1,1
Bom atendimento e acolhimento dos clientes.,1,1,1,1,1
"Buddies, tem lanches excelentes, uma carta de cerveja muito boa e ambiente agradável...Volto sempre..",1,1,1,1,1
Melhor italiano de Bh!!,1,1,1,1,1
"A comida parece bem feita, mas tudo sem sabor.",1,1,1,1,-1
"Para apreciadores de carnes , este lugar é perfeito.",1,1,1,1,1
Espaço amplo.,1,1,1,1,1
"Restaurante super bonito, comida deliciosa, pratos elaborados e super bem servidos (alguns podem ser divididos até por 4 pessoas, dependendo da fome.",1,1,1,1,1
Apesar de apertadinho o cardápio de experiencias traz novidades que se aprovadas passam para o cardápio oficial.,1,1,1,1,1
"De entrada, pedimos essa de abacaxi (não me lembro os ingredientes), uma mistura curiosa de gostos que a deixa boa para apreciar; de prato principal, meu namorado pediu o curry de camarão e eu pedi o Nasi Goreng tradicional, com carne e camarões: ambos os pratos estavam fantásticos, apimentados (2) na medida certa.",1,1,1,1,1
"Não deixe de experimentar o camarão no chopp, realmente uma delícia!",1,1,1,1,1
Deixaria como cortesia até pelo valor pago.,1,1,1,1,1
"Excelente relação custo-benefício, e uma senhora carta de vinhos de dezenas de países.",1,1,1,1,1
"Adoro a opção que vc escolhe a carne e mais quatro acompanhamentos, e ainda acompanha arroz.",1,1,1,1,1
"Situado no Bessa o Kachurrasco tem diversos sanduíches muito bons, lugar simples, limpo com bom atendimento e um excelente preço.",1,1,1,1,1
Situado numa travessa da rua Teodoro Sampaio se estiver por perto näo deixe de visitar!!!,1,1,1,1,1
Nenhuma é absurdamente gostosa.,1,1,1,1,1
"Uma lanchonete com uma proposta interessante por oferecer batidas diversas muito boa para um hapy houer com os amigos, tem uma localização muito boa na avenida Itaberaba, os preços não são muito altos, gostei da decoração e pretendo voltar o quanto antes",1,1,1,1,1
O garçom Ronaldo foi excelente como sempre.,1,1,1,1,1
Tem opções para todos os gostos.,1,1,1,1,1
"Aos sábados o restaurante serve buffet de feijoada completa, incluso sobremesa.",0,0,0,0,0
Gostei bastante !,1,1,1,1,1
Fui a convite em encontro médico.,0,0,0,0,0
Péssimo investimento.,1,1,1,1,-1
"As acomodações são razoáveis, tipo um Galpão, a comida muito boa , porem o preço achei salgado pelo tipo e conteúdo apresentado.",1,1,1,1,-1
Muito Bem atendido pelo Cássio.,1,1,1,1,1
"Mega parabéns pela comida, e principalmente pela receptividade, acolhimento e dedicação!!",1,1,1,1,1
Serviço bom e custo beneficio excelente.,1,1,1,1,1
"Sugiro pedir o combinado do Chef especial, muito bom.",1,1,1,1,1
E os preços são compatíveis.,1,1,1,1,1
o melhor restaurante que já conheci de comida baiana!!,1,1,1,1,1
Sempre no ponto certo.,1,1,1,1,1
"Comida excelente, atendimento rápido, facilidade de estacionamento, preços excelentes, porções generosas.",1,1,1,1,1
"Você come um risoto de frutos do mar, achando que já comeu algo igual, de repente vem um tempero desconhecido, ou algo que evolui na boça.",1,1,1,1,1
Dizer mais o que.,0,0,0,0,0
"O preço e justo pelo que entrega e, definitivamente, não tem como se arrepender...",1,1,1,1,1
E o restaurante conta ainda com boas entradas e varias opções de petiscos para um Happy Hour .,1,1,1,1,1
Preços muito bons pela região onde se encontra.,1,1,1,1,1
boa localização.,1,1,1,1,1
Show de bola mesmo amigos esse lugar para passar um dia e noite também.,1,1,1,1,1
Adorei o medalhão de camarão .,1,1,1,1,1
"Peçam o drink Michelada, espetacular.",1,1,1,1,1
"Em casa, acrescentei uns ingredientes como tomate, orégano e azeitona e a mesma ficou bem melhor1",1,1,1,1,-1
Recomendo a visita!,1,1,1,1,1
"Chegamos ao local abaixo de chuva, faltavam 10 minutos para abrir, já havia movimento dentro, e no entanto o rapaz nos disse que teríamos que aguardar ali mesmo.",1,1,1,1,-1
A massa 4 queijos é um espetáculo!,1,1,1,1,1
"Ótima opção para uma happy hour com os amigos, tem petiscos muito bons e ambiente agradável, veja se não tem promoção!",1,1,1,1,1
Não sei pra que ter.,1,1,1,1,-1
"Além disso tudo, as sobremesas são maravilhosas e o lugar bonito e agraável.",1,1,1,1,1
"Achei maravilhoso, não conheço um restaurante melhor em Goiania.",1,1,1,1,1
O famoso chiclete de camarão que o Imperador dos Camarões serve é maravilhoso!,1,1,1,1,1
"Muito bom atendimento, menu variado e um ótimo sabor... clima bem aconchegante, ótimo para uma noite romântica",1,1,1,1,1
Recomendo visitar.,1,1,1,1,1
"Ótima comida carnes macias e saborosas tem pra todos os gostos bem passada ao ponto o cliente é que manda, guarnições excelente,a picanha e maminha são minhas preferidas.",1,1,1,1,1
"Atendimento nota 1000. em relação ao lanche, superou as expectativas.",1,1,1,1,1
estivemos no restaurante essa semana.,0,0,0,0,0
Comida boa e com preço justo.,1,1,1,1,1
"Comida deliciosa, o verdadeiro sabor da Itália... ambiente aconchegante, atendimento atencioso e uma cachorrinha fofa para fazer carinho ❤",1,1,1,1,1
"Por indicação de uma amiga, que morou em BH, fomos jantar no Santa Fe.",0,0,0,0,0
Ótimo custo beneficio!,1,1,1,1,1
Saímos muitos satisfeitos com a qualidade da comida e o atendimento.,1,1,1,1,1
O Coco Bambu Porto Alegre está localizado no Shopping Iguatemi.,0,0,0,0,0
Vale a pena aos domingos abre até as 16:00 sugiro chegar meia hora antes pois é muito concorrido as mesas.,1,1,1,1,1
"O ambiente aconchegante e muito confortável permite que todos os visitantes apreciam o preparado dos alimentos, pois a cozinha é de frente para o salão e protegida com vidros.",1,1,1,1,1
"Ficamos 5 dias em fortaleza, fomos lá 3x.",0,0,0,0,1
En este restaurante podras disfrutar de unos buenos platos brasileros junto con bebidas del lugar.,1,1,1,1,1
"Gasto de quatro pessoas R$ 450,00 com tres garrafas de vinho e dois pratos apenas.",0,0,0,0,0
"Ambiente descontraído, atendimento excelente e comida muito boa!",1,1,1,1,1
Estou me referindo o da beira mar.,0,0,0,0,0
"Você pode escolher entre comer dentro, onde há ar condicionado, ou fora, num espaço coberto com vista para a praia.",0,0,0,0,1
"Um lugar agradável, comida diversas e de qualidade, preço acessível atendimento nota dez, super indico.",1,1,1,1,1
Muito bom!,1,1,1,1,1
Muito bom!,1,1,1,1,1
"Açai com preço justo, ótimo atendimento, Recomendo o Açaí paçoca,Açaí primavera e Açaí diplomata,  tem outras opções  no restaurante.",1,1,1,1,1
"A comida: a comida tem preço elevado mas é bem servida, infelizmente o sabor não foi o que esperávamos.",1,1,1,1,1
"Muito boa a comida, bastante saborosa.",1,1,1,1,1
"A comida muito bem preparada, e também um ótimo atendimento do Garçom Cavalcante.",1,1,1,1,1
"Atendimento excelente, ambiente sofisticado e boa localização dentro do Shopping Crystal no bairro Batel!",1,1,1,1,1
e a caipirinha gigante uma delícia,1,1,1,1,1
As massas são preparadas com muito esmero além do excelente bufê .,1,1,1,1,1
"Um dos melhores restaurantes em que já estive, excelentes pratos, comida bem temperada, camarões maravilhosos, excelentes saladas.",1,1,1,1,1
"O local é simples, e você logo vê que era um estabelecimento menor que adquiriu a confiança dos fregueses e acabou se expandindo.",1,1,1,1,1
Preço justo por uma experiencia sem razoável,1,1,1,1,1
"Venha conhecer um local romântico, bem decorado, agradável.",1,1,1,1,1
"O restaurante fica na área mais nobre da cidade, na região da Ponta Negra onde estão localizados os melhores hotéis e pousadas, as melhores baladas, os melhores restaurantes, a belíssima Praia da Ponta Negra cartão postal da cidade.",1,1,1,1,1
"Comida deliciosa, drinks sensacionais!!",1,1,1,1,1
"Os pratos principais são bem servidos e super bem feitos, me pareceu que os frutos do mar eram bem frescos.",1,1,1,1,1
Fomos devido a fama e os comentários da internet e nós decepcionamos.,1,1,1,1,-1
O Ricardo atendeu a gente de maneira incrível!,1,1,1,1,1
Caríssimo porem vale a pena conhecer.,1,1,1,1,1
"Excelente escolha para quem procura comer bem na cidade, cardápio muito amplo, carta de vinhos bem elaborada, atendimento nota dez e preço razoável para o nível do restaurante.",1,1,1,1,1
"Local excelente para curtir um show de humor e logo ali, na orla da praia do Meireles.",1,1,1,1,1
Recomendo!,1,1,1,1,1
Vale a pena.,1,1,1,1,1
Prato bem servido.,1,1,1,1,1
"Ideal para tomar um café, almoçar e se reunir.",1,1,1,1,1
Vale a pena esperar na fila!,1,1,1,1,1
Vale a pena ir!,1,1,1,1,1
"Gildo, Maurício, Raimundo e Valcir foram muito atenciosos.",1,1,1,1,1
Sempre tem algumas promoções que vale a pena e pratos deliciosos,1,1,1,1,1
Não tem estacionamento privativo mas é fácil encontrar uma vaga por perto.,1,1,1,1,1
"O restaurante fica de frente para a praia, o lugar é muito agradável para ir no sábado ou domingo depois de pegar uma praia.",1,1,1,1,1
"Localização na principal rua da cidade, sucos ótimos, pastéis deliciosos, ambiente um pouco apertado, lugar para crianças brincarem.",1,1,1,1,1
Preços medianos.,1,1,1,1,0
"Melhor maniçoba da região, petiscos variados,  de excelente qualidade.... Para quem curte uma boa comida, confira!!!!",1,1,1,1,1
Preço justo.,1,1,1,1,1
